"year","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","Chrome","IE","Firefox","Safari","Opera","Android","UC.Browser","Nokia","Samsung.Internet","BlackBerry","Edge","IEMobile","NetFront","Yandex.Browser","X360.Safe.Browser","Maxthon","Sony.PS3","Sogou.Explorer","Silk","QQ.Browser","Unknown","Chromium","Dolfin","Mozilla","Coc.Coc","Puffin","Samsung","AOL","Sony.PS4","Openwave","SeaMonkey","Phantom","SonyEricsson","Obigo","Jasmine","Pale.Moon","RockMelt","Iron","Other"
"1995",10106870.6923077,69184.3076923077,831,3748.84615384615,NA,22327.2692307692,42277.1923076923,463997.5,99760.9230769231,307604.230769231,56632.3461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996",10202164.8461538,64943.8461538462,755.576923076923,3702,NA,20599.7692307692,39886.5,454050.884615385,96400,304026.346153846,53624.5384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997",10296550.1346154,62926.8269230769,700.423076923077,3698.19230769231,NA,19174.3846153846,39353.8846153846,444566.346153846,94654.8461538462,297836.923076923,52084.1923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998",10395076.9807692,58995.6538461538,652.846153846154,3582.46153846154,NA,17199.4615384615,37560.8846153846,421224.115384615,89720.5769230769,283704.269230769,47799.2692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999",10488108.1923077,54847.8461538462,597,3438.88461538462,NA,15745.0384615385,35066.9230769231,392628.230769231,80797.6538461538,267520,44310.5769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000",10823919.4615385,54826.3846153846,599.461538461538,3468.38461538462,NA,15692.9230769231,35065.6153846154,391637.846153846,78884.3076923077,268138.076923077,44615.4615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001",10973752.2692308,55364.6153846154,616.807692307692,3494.73076923077,NA,16290.6538461538,34962.4230769231,401430.346153846,81405.0384615385,272779.5,47245.8076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002",11075920.1538462,54756.8076923077,624.192307692308,3662.88461538462,NA,16184.8461538462,34284.8846153846,402126.038461538,82740.4615384615,271437.653846154,47947.9230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003",11184191.3846154,53218.3076923077,635.692307692308,3610.88461538462,NA,15932.1153846154,33039.6153846154,401648.538461538,82878.2307692308,270261.615384615,48508.6923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",11294493.9230769,52311.0769230769,621.076923076923,3657.26923076923,NA,15441.1538461538,32591.5769230769,396899.461538462,82478.6923076923,266811.115384615,47609.6538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",11404117.7307692,53490.1923076923,643.846153846154,3628.73076923077,NA,16055.3076923077,33162.3076923077,391336.692307692,82901.8461538462,260901.807692308,47533.0384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",11515326.3076923,55197.0384615385,665.730769230769,3633.53846153846,NA,17278.6923076923,33619.0769230769,385369.269230769,84422.8076923077,254860.115384615,46086.3461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",11600813.7307692,54729.6153846154,658.769230769231,3544.61538461538,NA,17204.7692307692,33321.4615384615,380085.076923077,84238.3846153846,253520.846153846,42325.8461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008",11694604.7692308,53633.1153846154,633.269230769231,3490.38461538462,NA,17060.1153846154,32449.3461538462,375928.923076923,85726.4230769231,253315.615384615,36886.8846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",11807944.2307692,50996,592.269230769231,3432.34615384615,NA,15720.8461538462,31250.5384615385,359117.692307692,84742.8076923077,243772.884615385,30602,2.99166666666667,59.6858333333333,29.8808333333333,3.33916666666667,2.90833333333333,0.0233333333333333,0,0.183333333333333,0,0.0766666666666667,0,0.01,0.0241666666666667,0,0,0.0233333333333333,0.1125,0,0,0,0,0,0,0.296666666666667,0,0,0.00416666666666667,0.205,0,0.0191666666666667,0.0308333333333333,0,0.015,0,0,0,0,0,0.169166666666667
"2010",11897316.1153846,48124.9230769231,566.230769230769,3292.03846153846,NA,14195.7307692308,30070.9230769231,350485.576923077,83402.2692307692,238638.5,28444.8076923077,9.5925,50.335,30.4291666666667,4.87416666666667,2.5825,0.2475,0.025,0.459166666666667,0,0.448333333333333,0,0.01,0.0975,0,0,0.224166666666667,0.138333333333333,0,0,0,0.0108333333333333,0,0,0.1525,0,0,0.0291666666666667,0.0991666666666667,0,0.0216666666666667,0.03,0,0.01,0,0,0,0,0,0.184166666666667
"2011",11984146.7692308,46385.8076923077,563.884615384615,3237.5,NA,13645.0769230769,28939.3461538462,348182.423076923,84043.8461538462,236580.576923077,27558,19.8925,40.2366666666667,26.4233333333333,6.37833333333333,3.085,1.1725,0.1225,0.936666666666667,0,0.696666666666667,0,0.0225,0.206666666666667,0,0,0.138333333333333,0.135,0,0,0,0.0183333333333333,0.0375,0.0425,0.0441666666666667,0,0,0.0491666666666667,0.025,0,0.0225,0.0233333333333333,0,0.0233333333333333,0.0375,0.035,0,0.0208333333333333,0.0133333333333333,0.159166666666667
"2012",12072064.8076923,46810.0769230769,571.384615384615,3274.65384615385,NA,13655.8076923077,29308.0384615385,346230.461538462,81151.2307692308,237264.384615385,27814.8461538462,29.3133333333333,29.6466666666667,21.2675,9.03833333333333,3.66916666666667,2.89583333333333,0.8475,1.13833333333333,0,0.545833333333333,0,0.0725,0.398333333333333,0.00416666666666667,0.116666666666667,0.106666666666667,0.105,0.0466666666666667,0.0591666666666667,0.0183333333333333,0.0441666666666667,0.0666666666666667,0.126666666666667,0.0141666666666667,0,0,0.065,0.0025,0,0.0116666666666667,0.025,0.00666666666666667,0.015,0.035,0.0383333333333333,0.0166666666666667,0.0466666666666667,0.02,0.169166666666667
"2013",12172981.9615385,45538.1153846154,550.730769230769,3158.03846153846,NA,13272.8076923077,27952.9615384615,332765.076923077,74313.0384615385,231517.884615385,26934.1538461538,34.67,23.15,16.5891666666667,10.9491666666667,3.66,5.36583333333333,1.67416666666667,1.11916666666667,0,0.525833333333333,0,0.249166666666667,0.39,0.221666666666667,0.208333333333333,0.154166666666667,0.0941666666666667,0.135833333333333,0.14,0.0466666666666667,0.075,0.0575,0.0841666666666667,0.00916666666666667,0,0.0283333333333333,0.0425,0,0,0.0258333333333333,0.0175,0.0258333333333333,0.0125,0.0175,0.02,0.0308333333333333,0.0233333333333333,0.015,0.175
"2014",12265669.2692308,44984.75,544.769230769231,3264,4498.55769230769,12419.4230769231,28118.8076923077,315731.153846154,65890.5,223425.153846154,26415.5,38.8833333333333,15.5075,13.1983333333333,13.7433333333333,4.0125,7.22416666666667,2.82416666666667,1.09833333333333,0,0.43,0,0.619166666666667,0.383333333333333,0.238333333333333,0.44,0.174166666666667,0.0483333333333333,0.129166666666667,0.169166666666667,0.106666666666667,0.13,0.0683333333333333,0.0666666666666667,0.0216666666666667,0.0275,0.0575,0.0183333333333333,0,0.015,0.0333333333333333,0.0108333333333333,0.0283333333333333,0.02,0.015,0.0133333333333333,0.0191666666666667,0.00333333333333333,0.0208333333333333,0.199166666666667
"2015",12342301.5769231,46810.8461538462,610.692307692308,4848.65384615385,3513.48076923077,12621.8461538462,29397.1923076923,308792.057692308,61055.2884615385,220304.730769231,27432.0384615385,44.9283333333333,11.19,10.4675,13.0458333333333,5.02583333333333,6.28666666666667,5.40583333333333,0.4125,0,0.336666666666667,0.286666666666667,0.733333333333333,0.145833333333333,0.283333333333333,0.174166666666667,0.148333333333333,0.0241666666666667,0.1325,0.121666666666667,0.1575,0.0908333333333333,0.0858333333333333,0.0358333333333333,0.0225,0.0691666666666667,0.0533333333333333,0.00583333333333333,0,0.0383333333333333,0.0175,0.015,0.025,0.02,0.01,0.00416666666666667,0.0166666666666667,0,0.0108333333333333,0.1725
"2016",12427981.2692308,48677.75,663.461538461538,5023.19230769231,3681.92307692308,12776.8461538462,30884.8846153846,304578.269230769,58272.9230769231,216863.653846154,29441.6923076923,49.115,6.19833333333333,7.95583333333333,13.3266666666667,5.47166666666667,3.9475,7.74416666666667,0.108333333333333,2.37583333333333,0.26,1.43333333333333,0.618333333333333,0.0733333333333333,0.279166666666667,0.0866666666666667,0.0983333333333333,0.0116666666666667,0.0825,0.0125,0.0941666666666667,0.0691666666666667,0.08,0.0175,0.02,0.143333333333333,0.0658333333333333,0.0025,0,0.065,0.01,0.0133333333333333,0.0275,0.02,0.000833333333333333,0,0.0158333333333333,0,0.00333333333333333,0.1425
